date,rain,tmax,tmin,srad,tmean,treatment
01/01/1961,0,26.84592401,19.16387839,13.92519923,23.0049012,CAMP
01/02/1961,37.2,31.5,16.3,20.08210506,23.9,CAMP
01/03/1961,0,32.2,18.5,18.99425301,25.35,CAMP
01/04/1961,0,32.8,17.2,20.34126611,25,CAMP
01/05/1961,0,30.4,18.5,17.60007011,24.45,CAMP
01/06/1961,11.8,25.1,19.4,11.79401682,22.25,CAMP
01/07/1961,10.1,26.8,16.6,16.18302355,21.7,CAMP
01/08/1961,0,24,19.1,10.83093072,21.55,CAMP
01/09/1961,0,29.6,19.3,16.24510804,24.45,CAMP
01/10/1961,0,31.9,19.5,17.9300045,25.7,CAMP
01/11/1961,0,33.3,15.8,21.51370548,24.55,CAMP
01/12/1961,0,31.9,19.5,17.89943321,25.7,CAMP
01/13/1961,0,29.9,18,17.49362732,23.95,CAMP
01/14/1961,0,31.1,18,18.3968496,24.55,CAMP
01/15/1961,0,31.4,19.8,17.2216317,25.6,CAMP
01/16/1961,2.2,29.8,17.8,17.51807889,23.8,CAMP
01/17/1961,10.2,33.4,18.3,19.77748876,25.85,CAMP
01/18/1961,13.8,29.7,19.5,16.0184336,24.6,CAMP
01/19/1961,14.1,29.3,18.6,16.41562535,23.95,CAMP
01/20/1961,0,32.9,20.8,17.51124364,26.85,CAMP
01/21/1961,0,30.2,19.9,16.04069795,25.05,CAMP
01/22/1961,0,31.8,19.9,17.30842445,25.85,CAMP
01/23/1961,1.4,31.9,19,18.0447692,25.45,CAMP
01/24/1961,0,33.3,17.5,20.06935664,25.4,CAMP
01/25/1961,0,33.1,19.4,18.57581072,26.25,CAMP
01/26/1961,0,28.7,17,17.04718916,22.85,CAMP
01/27/1961,31.7,18.6,13.4,10.94448978,16,CAMP
01/28/1961,9,22.1,14.5,13.45938274,18.3,CAMP
01/29/1961,2.6,27.9,14.4,18.30548551,21.15,CAMP
01/30/1961,0,30.4,14,20.26102156,22.2,CAMP
01/31/1961,0,32.8,21.1,16.89483913,26.95,CAMP
02/01/1961,0,33.2,15.7,20.88753481,24.45,CAMP
02/02/1961,0,33.1,17.8,19.41342414,25.45,CAMP
02/03/1961,0.4,32.5,18,18.82793265,25.25,CAMP
02/04/1961,0,29.3,18.5,16.05168354,23.9,CAMP
02/05/1961,0,30.13098095,17.7,17.2689384,23.91549048,CAMP
02/06/1961,0,30.29122763,18,17.12560843,24.14561382,CAMP
02/07/1961,15.4,31.97381777,17,18.97988191,24.48690889,CAMP
02/08/1961,0,31.17258437,18.4,17.39719728,24.78629219,CAMP
02/09/1961,0,28.36826747,18.4,15.1943663,23.38413374,CAMP
02/10/1961,0.3,29.65024091,17.6,16.77946284,23.62512046,CAMP
02/11/1961,0,30.93221435,19.2,16.49765654,25.06610718,CAMP
02/12/1961,22.3,31.65332441,17.6,18.11718528,24.62666221,CAMP
02/13/1961,0,30.93221435,16.8,18.12106653,23.86610718,CAMP
02/14/1961,0,26.92604735,16,15.74887226,21.46302368,CAMP
02/15/1961,0,27.80740409,16.2,16.22081748,22.00370205,CAMP
02/16/1961,0,27.72728075,15,16.98898449,21.36364038,CAMP
02/17/1961,0,30.61172099,17.5,17.20838757,24.0558605,CAMP
02/18/1961,0,29.24962421,18,15.80587633,23.62481211,CAMP
02/19/1961,0,30.37135097,18.2,16.43399848,24.28567549,CAMP
02/20/1961,0,31.41295439,16.7,18.12255179,24.0564772,CAMP
02/21/1961,0,30.13098095,17.2,16.86242576,23.66549048,CAMP
02/22/1961,0,31.41295439,18.5,16.79253865,24.9564772,CAMP
02/23/1961,3.8,29.08937753,18,15.42529929,23.54468877,CAMP
02/24/1961,0,27.72728075,19.7,12.91041397,23.71364038,CAMP
02/25/1961,20.2,31.33283105,20,15.49419022,25.66641553,CAMP
02/26/1961,50.6,31.57320107,19.5,15.96885273,25.53660054,CAMP
02/27/1961,34.4,30.13098095,19.4,14.93492195,24.76549048,CAMP
02/28/1961,2.6,24.52234715,18.2,11.16332763,21.36117358,CAMP
03/01/1961,1.8,26.04469061,17.3,13.2706593,21.67234531,CAMP
03/02/1961,2,28.68876083,17.8,14.87596097,23.24438042,CAMP
03/03/1961,0,31.73344775,16.8,17.53648809,24.26672388,CAMP
03/04/1961,0,32.61480449,16.7,18.06350311,24.65740225,CAMP
03/05/1961,50.3,27.80740409,19.5,12.69588224,23.65370205,CAMP
03/06/1961,21.4,23.96148377,17.7,10.83307888,20.83074189,CAMP
03/07/1961,7.2,24.84284051,16,13.01926977,20.42142026,CAMP
03/08/1961,0,30.69184433,15.8,17.13744801,23.24592217,CAMP
03/09/1961,0,30.93221435,15.6,17.32592994,23.26610718,CAMP
03/10/1961,0,32.77505117,15.5,18.3713273,24.13752559,CAMP
03/11/1961,0,31.73344775,19,15.55025553,25.36672388,CAMP
03/12/1961,10.9,30.21110429,18,15.13404845,24.10555215,CAMP
03/13/1961,0,29.65024091,17.5,15.02097161,23.57512046,CAMP
03/14/1961,29.8,28.04777411,17,14.20513817,22.52388706,CAMP
03/15/1961,0,29.48999423,19.2,13.60530506,24.34499712,CAMP
03/16/1961,0.8,30.93221435,19,14.65588585,24.96610718,CAMP
03/17/1961,20.9,29.00925419,18,13.9655437,23.5046271,CAMP
03/18/1961,5.3,24.36210047,15,12.73284479,19.68105024,CAMP
03/19/1961,0.3,23.48074373,14.7,12.23465417,19.09037187,CAMP
03/20/1961,18,26.20493729,15,13.87753837,20.60246865,CAMP
03/21/1961,7.4,30.13098095,13,17.3032435,21.56549048,CAMP
03/22/1961,0,29.00925419,14.4,15.81594422,21.7046271,CAMP
03/23/1961,0,31.57320107,18,15.12509226,24.78660054,CAMP
03/24/1961,0,30.61172099,17.4,14.82592721,24.0058605,CAMP
03/25/1961,0,31.41295439,17.5,15.15407213,24.4564772,CAMP
03/26/1961,0,30.77196767,17.5,14.69381317,24.13598384,CAMP
03/27/1961,0.4,23.40062039,16.4,10.34578864,19.9003102,CAMP
03/28/1961,0,25.16333387,13.6,13.49296512,19.38166694,CAMP
03/29/1961,0,25.32358055,11.8,14.58382,18.56179028,CAMP
03/30/1961,0,26.04469061,11.7,14.95921743,18.87234531,CAMP
03/31/1961,0,28.04777411,9.5,17.03756548,18.77388706,CAMP
04/01/1961,0,28.84900751,9.5,17.31645917,19.17450376,CAMP
04/02/1961,0,27.16641737,16,12.85064277,21.58320869,CAMP
04/03/1961,0,26.92604735,15.7,12.80812766,21.31302368,CAMP
04/04/1961,158.8,27.80740409,15.7,13.25440646,21.75370205,CAMP
04/05/1961,51.2,27.00617069,16.5,12.20712512,21.75308535,CAMP
04/06/1961,0.3,28.84900751,16.9,12.99690728,22.87450376,CAMP
04/07/1961,0,25.16333387,14.9,11.90290814,20.03166694,CAMP
04/08/1961,0,28.52851415,15,13.71159385,21.76425708,CAMP
04/09/1961,0,30.29122763,18.5,12.6596637,24.39561382,CAMP
04/10/1961,0,28.20802079,15.6,13.03657511,21.9040104,CAMP
04/11/1961,0,30.29122763,14.9,14.4027601,22.59561382,CAMP
04/12/1961,0,30.85209101,15.5,14.28965968,23.17604551,CAMP
04/13/1961,0,30.13098095,16.5,13.32664589,23.31549048,CAMP
04/14/1961,2,29.00925419,16.5,12.64643268,22.7546271,CAMP
04/15/1961,19.4,29.65024091,17.5,12.36911514,23.57512046,CAMP
04/16/1961,12.2,29.48999423,17.7,12.09110668,23.59499712,CAMP
04/17/1961,0.7,29.97073427,17.5,12.3769361,23.73536714,CAMP
04/18/1961,0,27.96765077,17,11.47772594,22.48382539,CAMP
04/19/1961,27.2,23.24037371,15.4,9.510798839,19.32018686,CAMP
04/20/1961,0,25.00308719,13,11.88618201,19.0015436,CAMP
04/21/1961,0,25.32358055,13,11.97441999,19.16179028,CAMP
04/22/1961,0,26.20493729,13.8,11.93641598,20.00246865,CAMP
04/23/1961,33.6,27.24654071,12.3,13.0942581,19.77327036,CAMP
04/24/1961,0,28.44839081,15.1,12.24752357,21.77419541,CAMP
