date,treatment,rain,tmax,tmin,srad,tmean
01/01/1961,PGRO,0,23.9,18.4,9.057805717,21.15
01/02/1961,PGRO,2,26.9,18.3,15.27038401,22.6
01/03/1961,PGRO,0,30.6,20.1,18.37405026,25.35
01/04/1961,PGRO,7.6,29.8,16.4,18.12017032,23.1
01/05/1961,PGRO,0,27.9,18.6,17.36846027,23.25
01/06/1961,PGRO,3.3,25.7,18.5,12.14082953,22.1
01/07/1961,PGRO,0,26.9,15.5,19.46859643,21.2
01/08/1961,PGRO,0,26.6,13.8,11.25722329,20.2
01/09/1961,PGRO,0,28.4,17.2,11.8712506,22.8
01/10/1961,PGRO,1.2,28.6,19,13.23030215,23.8
01/11/1961,PGRO,0,29.2,16.2,14.21572847,22.7
01/12/1961,PGRO,0,29.8,18.2,18.55485165,24
01/13/1961,PGRO,0,30.4,17,20.15914365,23.7
01/14/1961,PGRO,0.2,29.8,19.1,17.04265011,24.45
01/15/1961,PGRO,1,31.2,19.8,15.54097002,25.5
01/16/1961,PGRO,4,32.1,18.7,12.05297211,25.4
01/17/1961,PGRO,0.6,30.8,17.8,14.15126182,24.3
01/18/1961,PGRO,3.8,28,19,8.92700268,23.5
01/19/1961,PGRO,35.8,28.6,19.1,10.77581666,23.85
01/20/1961,PGRO,14,30.2,20.2,18.82331068,25.2
01/21/1961,PGRO,0,31.2,19.6,15.46001025,25.4
01/22/1961,PGRO,0,29.4,18.7,15.32030663,24.05
01/23/1961,PGRO,0,27.1,18,11.95943067,22.55
01/24/1961,PGRO,0,28.9,16.5,18.13454137,22.7
01/25/1961,PGRO,0,29.3,12,21.82818587,20.65
01/26/1961,PGRO,0.5,21.3,15.9,8.818173518,18.6
01/27/1961,PGRO,3.2,18.2,13.4,8.802315196,15.8
01/28/1961,PGRO,9,17.4,14.2,8.785945525,15.8
01/29/1961,PGRO,1.3,22.6,14.8,10.74490608,18.7
01/30/1961,PGRO,0,28.2,14.4,18.62464848,21.3
01/31/1961,PGRO,0,30,15.2,20.45007283,22.6
02/01/1961,PGRO,0,31.3,16.4,19.80712749,23.85
02/02/1961,PGRO,0,31.8,17.3,19.41041766,24.55
02/03/1961,PGRO,27,30.9,16.1,14.21423652,23.5
02/04/1961,PGRO,2.8,27.6,18.8,12.34534833,23.2
02/05/1961,PGRO,4,28,18.6,12.56725862,23.3
02/06/1961,PGRO,4.2,28.2,17.8,17.81997911,23
02/07/1961,PGRO,0,30.3,16.2,14.60156607,23.25
02/08/1961,PGRO,0,29.3,16.3,15.30826832,22.8
02/09/1961,PGRO,15.2,25.8,18.6,10.99590224,22.2
02/10/1961,PGRO,0,27.4,18.4,14.02553992,22.9
02/11/1961,PGRO,0,29,17.7,13.38500702,23.35
02/12/1961,PGRO,0,29.9,17.4,19.8172882,23.65
02/13/1961,PGRO,0,29,14.5,21.48307159,21.75
02/14/1961,PGRO,0,24,14.6,13.53530299,19.3
02/15/1961,PGRO,0,25.1,15.4,13.25950917,20.25
02/16/1961,PGRO,0,25,15.5,14.43896589,20.25
02/17/1961,PGRO,11,28.6,17.7,15.61404031,23.15
02/18/1961,PGRO,1.4,26.9,17.7,15.93812964,22.3
02/19/1961,PGRO,10,28.3,17,18.5538496,22.65
02/20/1961,PGRO,0,29.6,17.4,17.90573478,23.5
02/21/1961,PGRO,0,28,18.1,15.45384154,23.05
02/22/1961,PGRO,59.3,29.6,19.6,8.20529953,24.6
02/23/1961,PGRO,7,26.7,18.7,15.00850775,22.7
02/24/1961,PGRO,4.6,25,19.4,8.144594658,22.2
02/25/1961,PGRO,0,29.5,20,19.21964979,24.75
02/26/1961,PGRO,22.8,29.8,20.5,13.80250107,25.15
02/27/1961,PGRO,0,28,20,11.14197406,24
02/28/1961,PGRO,0,21,15.8,8.017149994,18.4
03/01/1961,PGRO,0,22.9,15.8,10.35233502,19.35
03/02/1961,PGRO,0,26.2,12.6,17.4020133,19.4
03/03/1961,PGRO,0,30,13.7,19.11384158,21.85
03/04/1961,PGRO,0,31.1,17.5,7.881960209,24.3
03/05/1961,PGRO,0,25.1,20,17.58226326,22.55
03/06/1961,PGRO,12.4,20.3,15.2,7.811598493,17.75
03/07/1961,PGRO,0.4,21.4,14.9,14.54372346,18.15
03/08/1961,PGRO,0,28.7,17.5,16.11862461,23.1
03/09/1961,PGRO,0,29,18,16.40712945,23.5
03/10/1961,PGRO,0,31.3,18,17.50289354,24.65
03/11/1961,PGRO,2.4,30,19.3,13.74432121,24.65
03/12/1961,PGRO,8,28.1,17.2,7.59026527,22.65
03/13/1961,PGRO,18.4,27.4,17.6,9.043257877,22.5
03/14/1961,PGRO,2.2,25.4,17.4,10.02926452,21.4
03/15/1961,PGRO,0,27.2,19,10.32435397,23.1
03/16/1961,PGRO,6.6,29,16.9,16.86668422,22.95
03/17/1961,PGRO,14,26.6,18.2,10.79318308,22.4
03/18/1961,PGRO,24,20.8,14.6,7.355301265,17.7
03/19/1961,PGRO,0.4,19.7,13.9,7.314994882,16.8
03/20/1961,PGRO,14.4,23.1,15.9,8.395487393,19.5
03/21/1961,PGRO,0,28,16.7,15.6119731,22.35
03/22/1961,PGRO,1,26.6,15.7,10.86562806,21.15
03/23/1961,PGRO,0,29.8,18.2,16.91044577,24
03/24/1961,PGRO,0,28.6,18.2,12.19189517,23.4
03/25/1961,PGRO,0,29.6,19.5,15.32288122,24.55
03/26/1961,PGRO,0,28.8,14.7,15.46837226,21.75
03/27/1961,PGRO,0,19.6,13.6,17.03145039,16.6
03/28/1961,PGRO,0,21.8,11,6.940821413,16.4
03/29/1961,PGRO,0,22,11.1,12.85745649,16.55
03/30/1961,PGRO,0,22.9,8.7,16.56719233,15.8
03/31/1961,PGRO,0,25.4,13.2,17.23643899,19.3
04/01/1961,PGRO,0,26.4,12.8,14.79560607,19.6
04/02/1961,PGRO,16.4,24.3,12.1,8.857908217,18.2
04/03/1961,PGRO,6.3,24,12,7.214172281,18
04/04/1961,PGRO,22.4,25.1,16.2,10.33788727,20.65
04/05/1961,PGRO,5,24.1,15.7,9.331893517,19.9
04/06/1961,PGRO,0,26.4,13.8,7.287098451,20.1
04/07/1961,PGRO,0,21.8,14.9,11.72288289,18.35
04/08/1961,PGRO,0,26,16.5,11.1372713,21.25
04/09/1961,PGRO,0,28.2,16.4,10.76291205,22.3
04/10/1961,PGRO,0,25.6,17.1,11.00827765,21.35
04/11/1961,PGRO,0,28.2,18,11.96715484,23.1
04/12/1961,PGRO,0,28.9,14.8,10.67554461,21.85
04/13/1961,PGRO,1.6,28,14.3,9.80102419,21.15
04/14/1961,PGRO,27.8,26.6,16,11.4567636,21.3
04/15/1961,PGRO,13,27.4,17,10.384978,22.2
04/16/1961,PGRO,0,27.2,17.7,12.12115165,22.45
04/17/1961,PGRO,0,27.8,17.4,6.082859183,22.6
04/18/1961,PGRO,3.2,25.3,17,7.327454737,21.15
04/19/1961,PGRO,0,19.4,14.5,14.17352837,16.95
04/20/1961,PGRO,0,21.6,13.1,14.28802031,17.35
04/21/1961,PGRO,0,22,13.3,7.866705807,17.65
04/22/1961,PGRO,17.8,23.1,15.6,8.78654582,19.35
04/23/1961,PGRO,0,24.4,12.9,5.834422265,18.65
04/24/1961,PGRO,0,25.9,11.4,8.868919584,18.65
04/25/1961,PGRO,28.6,19.1,15.1,5.753878395,17.1
04/26/1961,PGRO,0,21.6,13.8,8.758748467,17.7
04/27/1961,PGRO,0,22.5,11,13.7220903,16.75
