year,yield
1993,2609.9948
1994,2677.798955102042
1995,2592.2034926829265
1996,2885.5625542416456
1997,2549.2880540540536
1998,2471.154858381985
1999,2828.2275564356437
2000,2323.4670364677027
2001,2694.294867532468
2002,2163.985239709443
2003,3079.5970829581993
2004,2670.4455287890937
2005,2514.121507692307
2006,2055.0669870088213
2007,2670.7291704180066
2008,2970.5093036319613
2009,2428.1049922077923
2010,3162.913211447261
2011,2942.088538613861
2012,2508.500904086739
2013,2941.7499351351353
2014,2291.7792000000004
2015,2249.7765101045297
2016,3208.7441746228924
