zone,year,yield
1,1993,2576.1384347826083
1,1994,2426.4697877551025
1,1995,2165.191468989547
1,1996,2603.521901285347
1,1997,2096.7409189189193
1,1998,2208.097159299416
1,1999,2567.5397663366334
1,2000,2280.0382963205234
1,2001,2398.5540363636364
1,2002,1985.904508474576
1,2003,2840.8033247588423
1,2004,2316.0286790697673
1,2005,2075.1229538461535
1,2006,1609.7081209302323
1,2007,2439.348572347267
1,2008,2627.1538644067796
1,2009,2564.896711688312
1,2010,3002.744232542927
1,2011,3191.218102970297
1,2012,2093.9882085070894
1,2013,3354.813783783784
1,2014,1389.4433203084832
1,2015,1614.965336585366
1,2016,3330.636481632653
2,1993,3120.5643304347827
2,1994,2906.232253061225
2,1995,2945.749194425087
2,1996,2653.8497676092547
2,1997,2982.070810810811
2,1998,3001.338481067556
2,1999,3032.4879168316834
2,2000,2084.3411849550284
2,2001,3425.823750649351
2,2002,2119.7980387409198
2,2003,3612.26028681672
2,2004,2899.80713809142
2,2005,2764.5060923076917
2,2006,1915.317869125902
2,2007,2768.88884244373
2,2008,3393.4612871670706
2,2009,2132.642846753247
2,2010,3322.8387548650862
2,2011,2754.489508910891
2,2012,3075.4441117597994
2,2013,2440.1748756756756
2,2014,3219.4786745501287
2,2015,2807.0110898954704
2,2016,3054.661762910381
3,1993,1983.3421391304348
3,1994,2664.0961387755106
3,1995,2456.6170299651567
3,1996,3092.9129799485863
3,1997,2561.5667567567566
3,1998,2162.2432757297747
3,1999,2724.579299009901
3,2000,2084.1631303352415
3,2001,2417.1826961038964
3,2002,2116.5337772397097
3,2003,2809.0299948553056
3,2004,2703.434204009623
3,2005,2728.6560307692307
3,2006,2125.214671692061
3,2007,2856.1252411575565
3,2008,3001.283518644068
3,2009,2312.7415376623376
3,2010,3166.2372562551104
3,2011,2292.7470376237625
3,2012,2767.0973728106756
3,2013,1789.6062378378379
3,2014,2570.769045758355
3,2015,2472.9733644599305
3,2016,2906.423410470275
4,1993,2975.9697739130434
4,1994,3008.7435428571434
4,1995,3024.3634034843203
4,1996,3212.808049357327
4,1997,2685.9828648648645
4,1998,2741.2694432026683
4,1999,3197.075548514852
4,2000,2947.519099918234
4,2001,2713.438722077922
4,2002,2755.1004552058107
4,2003,3278.0927768488746
4,2004,3194.572218765036
4,2005,2657.615169230769
4,2006,2944.448322052927
4,2007,2854.0374405144694
4,2008,3115.5382779661018
4,2009,2740.504503896104
4,2010,3236.0374842191336
4,2011,3367.5041663366337
4,2012,2736.905794829024
4,2013,3288.452464864865
4,2014,2895.0815259640103
4,2015,2430.430344250871
4,2016,3625.8532046140194
