code,zone,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
4101002,3,1020.0,1615.0,1250.0,2000.0,1000.0,800.0,800.0,1185.0,1501.0,1528.0,1807.0,2000.0,1500.0,1490.0,2100.0,2400.0,1771.0,1800.0,2200.0,2500.0,2300.0,2500.0,2750.0,3000.0,1700.0,3000.0,1800.0
4101051,3,428.0,1000.0,1300.0,1800.0,1611.0,1000.0,2250.0,1371.0,1816.0,1955.0,2488.0,2000.0,2300.0,2400.0,3000.0,2700.0,2700.0,2700.0,2057.0,2700.0,2700.0,2850.0,2557.0,2279.0,2154.0,3100.0,1612.0
4101101,2,2354.0,1611.0,1650.0,764.0,1900.0,2200.0,1860.0,750.0,2600.0,1500.0,2850.0,2200.0,2200.0,500.0,1734.0,2727.0,1470.0,2726.0,1611.0,2420.0,2400.0,2760.0,2500.0,2820.0,2905.0,2790.0,2790.0
4101408,2,961.0,1898.0,1704.0,1518.0,1732.0,2000.0,2172.0,1366.0,2465.0,1466.0,2874.0,2100.0,2100.0,1700.0,2500.0,3200.0,1530.0,2850.0,1480.0,2624.0,926.0,2900.0,2200.0,2300.0,2400.0,2200.0,2300.0
4101507,2,1393.0,1841.0,1719.0,1530.0,1816.0,1900.0,2140.0,1305.0,2378.0,1333.0,2826.0,2400.0,2260.0,1480.0,2696.0,3000.0,1600.0,2720.0,1700.0,2600.0,815.0,3000.0,2700.0,2200.0,2040.0,1900.0,2000.0
4101606,2,2073.0,2446.0,2163.0,3147.0,2226.0,2064.0,2406.0,1021.0,3364.0,1762.0,3332.0,2500.0,2600.0,2700.0,2845.0,3500.0,2300.0,4250.0,3300.0,3500.0,2700.0,3600.0,3500.0,4000.0,3300.0,3300.0,3300.0
4101655,3,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,2000.0,512.0,2050.0,1547.0,2893.0,2230.0,2400.0,2500.0,3000.0,3000.0,1750.0,3300.0,2400.0,2403.0,1400.0,2708.0,2350.0,3100.0,1850.0,2900.0,2683.0
4101705,3,500.0,1995.0,2100.0,1900.0,1800.0,1650.0,1900.0,1571.0,1781.0,1277.0,1750.0,2100.0,2500.0,1500.0,1500.0,2925.0,2000.0,2975.0,1850.0,2976.0,1240.0,2975.0,2975.0,2730.0,2730.0,3000.0,1360.0
4101804,4,1300.0,1450.0,1600.0,1876.0,1950.0,1750.0,1816.0,1740.0,1600.0,1772.0,1979.0,1980.0,2200.0,1982.0,2355.0,2200.0,2200.0,2300.0,3313.0,2451.0,2850.0,3000.0,3000.0,3000.0,2479.0,2479.0,3225.0
4101853,3,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,2000.0,1300.0,1800.0,1042.0,2747.0,2200.0,1800.0,2600.0,2800.0,3000.0,1800.0,3272.0,2400.0,2460.0,1450.0,2591.0,2350.0,3100.0,1850.0,2900.0,2650.0
