,,4,5,6,7,8,9,10,11
1,ECMWF,26.7,25.31,29.32,29.76,28.92,20.69,10.92,10.1
1,NCEP,24.82,23.99,27.63,26.62,24.15,18.83,10.45,10.1
1,UKMO,23.76,25.06,27.55,28.24,28.18,17.94,11.14,10.1
1,MME,24.62,27.48,29.61,30.13,29.14,20.44,11.18,10.1
2,ECMWF,12.52,14.65,14.17,13.52,12.74,12.42,10.98,10.11
2,NCEP,14.07,14.84,15.62,13.0,12.81,12.72,11.71,10.11
2,UKMO,13.15,14.57,14.11,13.09,12.56,12.68,11.41,10.11
2,MME,12.64,14.74,15.03,13.97,13.19,12.6,11.53,10.11
3,ECMWF,12.03,12.52,11.83,12.18,12.5,12.87,11.62,10.94
3,NCEP,12.73,13.11,13.64,12.43,13.79,13.02,12.36,10.94
3,UKMO,11.77,12.98,12.26,12.32,12.1,12.54,11.58,10.94
3,MME,11.74,12.53,12.3,12.09,12.45,12.65,11.78,10.94
4,ECMWF,11.67,11.89,11.21,11.49,11.15,11.18,9.5,8.83
4,NCEP,13.75,12.66,14.09,12.55,12.5,11.74,10.06,8.83
4,UKMO,11.74,12.49,11.16,12.23,11.06,11.0,9.35,8.83
4,MME,12.04,12.03,11.82,11.83,11.14,11.07,9.49,8.83
5,ECMWF,11.56,11.9,11.23,11.44,10.58,9.49,7.88,6.01
5,NCEP,14.34,14.88,14.7,12.74,11.84,10.45,9.26,6.01
5,UKMO,12.28,12.71,10.79,12.13,11.07,10.61,7.64,6.01
5,MME,12.12,12.47,11.76,11.62,10.47,9.86,7.9,6.01
