model,init_month,zone,year,month,time,tmean,tmax,tmin,rain
WS,11,1,1993,4,1993-04-01,21.9,26.6,17.2,0.0
WS,11,1,1993,4,1993-04-02,21.85,25.8,17.9,1.4
WS,11,1,1993,4,1993-04-03,21.75,27.0,16.5,0.0
WS,11,1,1993,4,1993-04-04,22.7,28.8,16.6,0.0
WS,11,1,1993,4,1993-04-05,24.05,30.1,18.0,0.0
WS,11,1,1993,4,1993-04-06,19.8,22.4,17.2,2.2
WS,11,1,1993,4,1993-04-07,17.6,23.6,11.6,0.0
WS,11,1,1993,4,1993-04-08,16.4,19.2,13.6,32.0
WS,11,1,1993,4,1993-04-09,12.2,18.2,6.2,0.1
WS,11,1,1993,4,1993-04-10,14.55,22.6,6.5,0.0
WS,11,1,1993,4,1993-04-11,17.45,24.2,10.7,0.0
WS,11,1,1993,4,1993-04-12,17.3,21.0,13.6,1.1
WS,11,1,1993,4,1993-04-13,22.15,28.6,15.7,6.4
WS,11,1,1993,4,1993-04-14,24.0,30.0,18.0,0.0
WS,11,1,1993,4,1993-04-15,24.45,30.5,18.4,0.0
WS,11,1,1993,4,1993-04-16,24.15,29.5,18.8,0.0
WS,11,1,1993,4,1993-04-17,21.6,25.8,17.4,7.9
WS,11,1,1993,4,1993-04-18,24.1,30.6,17.6,0.0
WS,11,1,1993,4,1993-04-19,23.9,29.8,18.0,0.0
WS,11,1,1993,4,1993-04-20,23.45,29.9,17.0,0.0
WS,11,1,1993,4,1993-04-21,17.6,20.6,14.6,0.0
WS,11,1,1993,4,1993-04-22,12.45,14.6,10.3,0.0
WS,11,1,1993,4,1993-04-23,16.35,20.8,11.9,17.3
WS,11,1,1993,4,1993-04-24,19.35,25.2,13.5,0.0
WS,11,1,1993,4,1993-04-25,19.05,25.6,12.5,0.0
WS,11,1,1993,4,1993-04-26,20.4,24.0,16.8,0.5
WS,11,1,1993,4,1993-04-27,18.15,20.0,16.3,0.0
WS,11,1,1993,4,1993-04-28,20.8,25.0,16.6,5.8
WS,11,1,1993,4,1993-04-29,20.85,26.2,15.5,0.3
WS,11,1,1993,4,1993-04-30,21.2,26.2,16.2,0.0
WS,11,1,1993,5,1993-05-01,21.2,27.2,15.2,0.0
WS,11,1,1993,5,1993-05-02,21.1,26.2,16.0,0.0
WS,11,1,1993,5,1993-05-03,19.85,25.0,14.7,0.2
WS,11,1,1993,5,1993-05-04,20.5,26.6,14.4,0.0
WS,11,1,1993,5,1993-05-05,11.2,14.4,8.0,36.9
WS,11,1,1993,5,1993-05-06,11.9,20.0,3.8,0.0
WS,11,1,1993,5,1993-05-07,19.85,26.8,12.9,0.0
WS,11,1,1993,5,1993-05-08,22.2,29.0,15.4,0.0
WS,11,1,1993,5,1993-05-09,20.9,27.6,14.2,0.0
WS,11,1,1993,5,1993-05-10,20.85,27.8,13.9,0.0
WS,11,1,1993,5,1993-05-11,17.65,19.8,15.5,8.5
WS,11,1,1993,5,1993-05-12,18.5,22.2,14.8,66.3
WS,11,1,1993,5,1993-05-13,16.6,18.8,14.4,0.3
WS,11,1,1993,5,1993-05-14,10.9,14.4,7.4,16.6
WS,11,1,1993,5,1993-05-15,7.85,13.6,2.1,0.0
WS,11,1,1993,5,1993-05-16,10.9,18.0,3.8,0.0
WS,11,1,1993,5,1993-05-17,13.85,20.2,7.5,0.0
WS,11,1,1993,5,1993-05-18,17.25,23.2,11.3,0.0
WS,11,1,1993,5,1993-05-19,17.05,22.6,11.5,0.0
WS,11,1,1993,5,1993-05-20,17.2,23.2,11.2,0.0
WS,11,1,1993,5,1993-05-21,17.2,22.8,11.6,0.0
WS,11,1,1993,5,1993-05-22,17.2,23.0,11.4,0.0
WS,11,1,1993,5,1993-05-23,17.4,23.0,11.8,0.0
WS,11,1,1993,5,1993-05-24,18.05,23.4,12.7,0.0
WS,11,1,1993,5,1993-05-25,17.4,22.8,12.0,0.0
WS,11,1,1993,5,1993-05-26,12.5,15.8,9.2,0.0
WS,11,1,1993,5,1993-05-27,6.3,9.2,3.4,19.8
WS,11,1,1993,5,1993-05-28,6.95,14.4,-0.5,0.0
WS,11,1,1993,5,1993-05-29,12.0,16.0,8.0,0.0
WS,11,1,1993,5,1993-05-30,14.3,16.4,12.2,3.4
WS,11,1,1993,5,1993-05-31,10.7,13.8,7.6,24.2
WS,11,1,1993,6,1993-06-01,5.35,11.2,-0.5,0.0
WS,11,1,1993,6,1993-06-02,9.1,16.0,2.2,0.0
WS,11,1,1993,6,1993-06-03,11.7,15.0,8.4,1.8
WS,11,1,1993,6,1993-06-04,15.3,18.8,11.8,15.2
WS,11,1,1993,6,1993-06-05,14.75,20.2,9.3,58.8
WS,11,1,1993,6,1993-06-06,16.2,21.8,10.6,0.0
WS,11,1,1993,6,1993-06-07,16.25,21.3,11.2,0.0
WS,11,1,1993,6,1993-06-08,14.05,16.5,11.6,0.0
WS,11,1,1993,6,1993-06-09,8.9,11.6,6.2,7.9
WS,11,1,1993,6,1993-06-10,6.85,10.2,3.5,0.0
WS,11,1,1993,6,1993-06-11,9.95,16.4,3.5,0.0
WS,11,1,1993,6,1993-06-12,15.05,19.6,10.5,0.0
WS,11,1,1993,6,1993-06-13,16.2,20.4,12.0,0.0
WS,11,1,1993,6,1993-06-14,15.85,20.8,10.9,0.0
WS,11,1,1993,6,1993-06-15,17.05,22.0,12.1,0.0
WS,11,1,1993,6,1993-06-16,15.5,17.6,13.4,0.6
WS,11,1,1993,6,1993-06-17,11.9,15.0,8.8,32.3
WS,11,1,1993,6,1993-06-18,6.55,8.8,4.3,8.4
WS,11,1,1993,6,1993-06-19,6.1,12.8,-0.6,0.1
WS,11,1,1993,6,1993-06-20,11.5,18.6,4.4,0.0
WS,11,1,1993,6,1993-06-21,13.1,19.8,6.4,0.0
WS,11,1,1993,6,1993-06-22,14.65,22.4,6.9,0.0
WS,11,1,1993,6,1993-06-23,16.5,22.8,10.2,0.0
WS,11,1,1993,6,1993-06-24,15.5,17.0,14.0,0.1
WS,11,1,1993,6,1993-06-25,16.1,19.6,12.6,12.0
WS,11,1,1993,6,1993-06-26,16.5,22.6,10.4,0.0
WS,11,1,1993,6,1993-06-27,18.7,23.6,13.8,0.0
WS,11,1,1993,6,1993-06-28,18.3,21.8,14.8,0.0
WS,11,1,1993,6,1993-06-29,17.8,20.8,14.8,0.0
WS,11,1,1993,6,1993-06-30,13.55,19.6,7.5,0.0
WS,11,1,1993,7,1993-07-01,17.3,22.0,12.6,0.8
WS,11,1,1993,7,1993-07-02,14.65,18.8,10.5,25.7
WS,11,1,1993,7,1993-07-03,16.4,20.8,12.0,38.1
WS,11,1,1993,7,1993-07-04,18.8,20.2,17.4,67.8
WS,11,1,1993,7,1993-07-05,20.9,23.4,18.4,31.6
WS,11,1,1993,7,1993-07-06,13.1,18.4,7.8,22.4
WS,11,1,1993,7,1993-07-07,6.1,8.8,3.4,21.1
WS,11,1,1993,7,1993-07-08,8.45,15.6,1.3,0.0
WS,11,1,1993,7,1993-07-09,12.5,19.0,6.0,0.0
WS,11,1,1993,7,1993-07-10,16.2,20.2,12.2,3.6
WS,11,1,1993,7,1993-07-11,11.9,16.6,7.2,38.8
WS,11,1,1993,7,1993-07-12,7.9,9.2,6.6,2.4
WS,11,1,1993,7,1993-07-13,5.55,8.8,2.3,0.0
WS,11,1,1993,7,1993-07-14,3.65,7.4,-0.1,0.0
WS,11,1,1993,7,1993-07-15,5.15,11.5,-1.2,0.2
WS,11,1,1993,7,1993-07-16,9.45,16.2,2.7,0.0
WS,11,1,1993,7,1993-07-17,9.5,10.8,8.2,0.0
WS,11,1,1993,7,1993-07-18,14.8,18.8,10.8,15.2
WS,11,1,1993,7,1993-07-19,18.05,24.6,11.5,0.0
WS,11,1,1993,7,1993-07-20,20.0,26.0,14.0,0.0
WS,11,1,1993,7,1993-07-21,19.8,25.6,14.0,0.0
WS,11,1,1993,7,1993-07-22,19.25,24.9,13.6,0.0
WS,11,1,1993,7,1993-07-23,18.7,24.6,12.8,0.0
WS,11,1,1993,7,1993-07-24,11.9,17.4,6.4,0.0
WS,11,1,1993,7,1993-07-25,7.4,15.4,-0.6,0.0
WS,11,1,1993,7,1993-07-26,11.7,18.4,5.0,0.0
WS,11,1,1993,7,1993-07-27,14.75,21.0,8.5,0.0
WS,11,1,1993,7,1993-07-28,14.3,18.6,10.0,0.0
WS,11,1,1993,7,1993-07-29,11.2,15.2,7.2,5.1
WS,11,1,1993,7,1993-07-30,5.0,7.2,2.8,9.6
WS,11,1,1993,7,1993-07-31,3.5,6.2,0.8,1.6
WS,11,1,1993,8,1993-08-01,5.9,9.8,2.0,0.0
WS,11,1,1993,8,1993-08-02,8.1,15.8,0.4,0.0
WS,11,1,1993,8,1993-08-03,13.3,20.2,6.4,0.0
WS,11,1,1993,8,1993-08-04,16.85,24.8,8.9,0.0
WS,11,1,1993,8,1993-08-05,19.1,26.6,11.6,0.0
WS,11,1,1993,8,1993-08-06,21.3,28.0,14.6,0.0
WS,11,1,1993,8,1993-08-07,20.25,26.8,13.7,0.0
WS,11,1,1993,8,1993-08-08,18.1,25.2,11.0,0.0
WS,11,1,1993,8,1993-08-09,8.0,11.0,5.0,0.0
WS,11,1,1993,8,1993-08-10,6.85,12.2,1.5,0.0
WS,11,1,1993,8,1993-08-11,7.8,14.2,1.4,0.0
WS,11,1,1993,8,1993-08-12,11.2,18.4,4.0,0.0
WS,11,1,1993,8,1993-08-13,16.5,23.6,9.4,0.0
WS,11,1,1993,8,1993-08-14,16.75,21.0,12.5,0.0
WS,11,1,1993,8,1993-08-15,15.9,22.0,9.8,0.0
WS,11,1,1993,8,1993-08-16,17.3,23.2,11.4,0.0
WS,11,1,1993,8,1993-08-17,13.75,18.5,9.0,0.0
WS,11,1,1993,8,1993-08-18,10.15,15.4,4.9,7.0
WS,11,1,1993,8,1993-08-19,11.5,20.0,3.0,0.0
WS,11,1,1993,8,1993-08-20,12.8,20.6,5.0,0.0
WS,11,1,1993,8,1993-08-21,14.4,20.8,8.0,0.0
WS,11,1,1993,8,1993-08-22,14.1,18.8,9.4,0.0
WS,11,1,1993,8,1993-08-23,12.8,15.0,10.6,0.0
WS,11,1,1993,8,1993-08-24,15.6,20.2,11.0,3.9
WS,11,1,1993,8,1993-08-25,17.0,22.6,11.4,0.0
WS,11,1,1993,8,1993-08-26,17.7,24.0,11.4,0.0
WS,11,1,1993,8,1993-08-27,19.3,27.4,11.2,0.0
WS,11,1,1993,8,1993-08-28,22.0,29.6,14.4,0.0
WS,11,1,1993,8,1993-08-29,24.3,29.8,18.8,0.0
WS,11,1,1993,8,1993-08-30,25.8,30.6,21.0,0.0
