year,yield
1993,2687.363636363636
1994,2737.7643253234755
1995,2641.626503047273
1996,2930.5712898527267
1997,2610.938645418327
1998,2531.6530114797924
1999,2881.8055512361993
2000,2340.684178092744
2001,2737.7903349135954
2002,2194.415589353612
2003,3097.0553871798757
2004,2692.2370291937677
2005,2531.334442595674
2006,2066.5271253220185
2007,2669.7547528517107
2008,2952.8802569200184
2009,2422.380064704976
2010,3131.9193749028145
2011,2914.5221732976884
2012,2490.2573705179284
2013,2901.783136429843
2014,2270.069098995223
2015,2203.187279448832
2016,3149.0
