zone,year,yield
1,1993,2798.4411857707505
1,1994,2632.782171063687
1,1995,2355.955578982046
1,1996,2787.7873231914546
1,1997,2266.0304143426297
1,1998,2368.436980657336
1,1999,2719.6432669880264
1,2000,2422.222056693884
1,2001,2531.9511117907937
1,2002,2111.519041825095
1,2003,2955.7377648128504
1,2004,2424.644569656633
1,2005,2177.122813492663
1,2006,1706.9721957872405
1,2007,2523.5914524714826
1,2008,2702.220753937911
1,2009,2632.571737790787
1,2010,3059.2611133571763
1,2011,3238.513362163862
1,2012,2141.0520557768923
1,2013,3385.5770771969574
1,2014,1422.6998517542413
1,2015,1637.0982641572846
1,2016,3338.4794071146243
2,1993,3117.6291304347824
2,1994,2899.557337422282
2,1995,2939.8449456432218
2,1996,2645.2431639423853
2,1997,2976.7417131474103
2,1998,2996.1797271583587
2,1999,3027.465660861452
2,2000,2078.2443906948083
2,2001,3420.611738797982
2,2002,2116.6887262357413
2,2003,3605.4326011516896
2,2004,2895.600285887158
2,2005,2761.280992285584
2,2006,1917.745140930444
2,2007,2766.3294106463877
2,2008,3386.6813671815266
2,2009,2135.4790386689265
2,2010,3317.0313038407717
2,2011,2753.22772212612
2,2012,3072.2349402390437
2,2013,2441.34262178346
2,2014,3216.5384228298467
2,2015,2806.467041673668
2,2016,3053.8649011857706
3,1993,2127.0097628458498
3,1994,2810.923681314065
3,1995,2591.868594959644
3,1996,3226.5568939148734
3,1997,2682.3590039840637
3,1998,2273.780916417676
3,1999,2831.7296439122993
3,2000,2183.699773147435
3,2001,2511.011241780089
3,2002,2205.078507604563
3,2003,2889.9213532353388
3,2004,2778.739030025715
3,2005,2798.0253501739526
3,2006,2192.639770798606
3,2007,2913.2933840304186
3,2008,3051.7792548554826
3,2009,2362.804535510707
3,2010,3204.3611922718087
3,2011,2331.7885375058972
3,2012,2797.069830677291
3,2013,1819.9131671791554
3,2014,2590.2741109372428
3,2015,2486.639252226517
3,2016,2912.523053359684
4,1993,3105.12395256917
4,1994,3130.696040161318
4,1995,3139.2271149728213
4,1996,3322.6501165237096
4,1997,2785.0436494023907
4,1998,2835.256534832521
4,1999,3287.1884675789142
4,2000,3031.468239100293
4,2001,2792.301761737269
4,2002,2829.1890000000003
4,2003,3345.7914767388997
4,2004,3257.4859794282256
4,2005,2718.5192845257898
4,2006,2999.1596067585997
4,2007,2904.772673003802
4,2008,3159.826346536168
4,2009,2782.9665244184253
4,2010,3270.1387054890374
4,2011,3395.995108507627
4,2012,2765.1086613545817
4,2013,3308.1761822301346
4,2014,2912.0734615384617
4,2015,2443.821108217106
4,2016,3630.2768379446643
